INFO  - 2018-07-02 06:11:40.569; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986449909778759680)&start=0&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2018-07-02 06:11:40.574; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986449909778759680 (1604831622540034048)]} 0 1
INFO  - 2018-07-02 06:11:40.586; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:989707163273576448)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.590; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[989707163273576448 (1604831622557859840)]} 0 0
INFO  - 2018-07-02 06:11:40.599; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:989700633937625088)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.605; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[989700633937625088 (1604831622573588480)]} 0 0
INFO  - 2018-07-02 06:11:40.614; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986516495646711808)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.618; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986516495646711808 (1604831622587219968)]} 0 0
INFO  - 2018-07-02 06:11:40.627; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970843604070494208)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.632; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970843604070494208 (1604831622601900032)]} 0 0
INFO  - 2018-07-02 06:11:40.641; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970593099490578433)&start=0&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2018-07-02 06:11:40.645; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970593099490578433 (1604831622615531520)]} 0 0
INFO  - 2018-07-02 06:11:40.654; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970606838822535168)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.658; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970606838822535168 (1604831622629163008)]} 0 0
INFO  - 2018-07-02 06:11:40.667; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970854655604408321)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.672; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970854655604408321 (1604831622643843072)]} 0 0
INFO  - 2018-07-02 06:11:40.683; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970561163158110208)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.688; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970561163158110208 (1604831622660620288)]} 0 1
INFO  - 2018-07-02 06:11:40.698; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970845913865273346)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.702; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970845913865273346 (1604831622675300352)]} 0 0
INFO  - 2018-07-02 06:11:40.710; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970926612119080960)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.715; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970926612119080960 (1604831622688931840)]} 0 0
INFO  - 2018-07-02 06:11:40.723; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970931394602942464)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.728; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970931394602942464 (1604831622702563328)]} 0 0
INFO  - 2018-07-02 06:11:40.744; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986858914179301377)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.749; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986858914179301377 (1604831622724583424)]} 0 0
INFO  - 2018-07-02 06:11:40.759; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970604649945350144)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.763; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970604649945350144 (1604831622739263488)]} 0 0
INFO  - 2018-07-02 06:11:40.775; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987281274350911494)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.780; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987281274350911494 (1604831622757089280)]} 0 0
INFO  - 2018-07-02 06:11:40.789; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970603260405989376)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.794; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970603260405989376 (1604831622771769344)]} 0 0
INFO  - 2018-07-02 06:11:40.803; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986193354688905217)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.807; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986193354688905217 (1604831622785400832)]} 0 0
INFO  - 2018-07-02 06:11:40.816; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986873389921914880)&start=0&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2018-07-02 06:11:40.820; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986873389921914880 (1604831622799032320)]} 0 0
INFO  - 2018-07-02 06:11:40.828; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986515344436019200)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.833; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986515344436019200 (1604831622812663808)]} 0 0
INFO  - 2018-07-02 06:11:40.844; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987271676122427392)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.849; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987271676122427392 (1604831622829441024)]} 0 1
INFO  - 2018-07-02 06:11:40.864; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986873573309464576)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.867; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=true,prepareCommit=false}
INFO  - 2018-07-02 06:11:40.869; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986873573309464576 (1604831622850412544)]} 0 0
INFO  - 2018-07-02 06:11:40.870; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@6f7af372[twitter_user] main
INFO  - 2018-07-02 06:11:40.870; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2018-07-02 06:11:40.871; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@6f7af372[twitter_user] main{StandardDirectoryReader(segments_53q:79358:nrt _h43(4.11.0):C850/261:delGen=1 _h47(4.11.0):C60/9 _h48(4.11.0):C25 _h49(4.11.0):C57 _h4a(4.11.0):C66 _h4b(4.11.0):C62)}
INFO  - 2018-07-02 06:11:40.871; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2018-07-02 06:11:40.871; org.apache.solr.core.SolrCore; [twitter_user] Registered new searcher Searcher@6f7af372[twitter_user] main{StandardDirectoryReader(segments_53q:79358:nrt _h43(4.11.0):C850/261:delGen=1 _h47(4.11.0):C60/9 _h48(4.11.0):C25 _h49(4.11.0):C57 _h4a(4.11.0):C66 _h4b(4.11.0):C62)}
INFO  - 2018-07-02 06:11:40.879; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987239240441315328)&start=0&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2018-07-02 06:11:40.884; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987239240441315328 (1604831622866141184)]} 0 0
INFO  - 2018-07-02 06:11:40.893; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986162323826987011)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.898; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986162323826987011 (1604831622880821248)]} 0 0
INFO  - 2018-07-02 06:11:40.910; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987163651768381440)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.915; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987163651768381440 (1604831622898647040)]} 0 0
INFO  - 2018-07-02 06:11:40.927; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986455737210552321)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.932; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986455737210552321 (1604831622916472832)]} 0 0
INFO  - 2018-07-02 06:11:40.941; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987180878265630721)&start=0&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2018-07-02 06:11:40.945; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987180878265630721 (1604831622930104320)]} 0 0
INFO  - 2018-07-02 06:11:40.954; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:989772443693727744)&start=0&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2018-07-02 06:11:40.959; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[989772443693727744 (1604831622944784384)]} 0 0
INFO  - 2018-07-02 06:11:40.970; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987164306662764544)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.975; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987164306662764544 (1604831622961561600)]} 0 0
